Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
cestrum,Cestrum,1,2,1,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
chestnut,Châtaigne,0,3,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
chayote,Chayote,2,3,2,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cabbage,Chou,2,3,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
chrysanthemum,Chrysanthème,2,2,2,3,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
chives,Ciboulette,2,3,2,2,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
cineraria,Cinéraire,1,3,0,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
lemongrass,Citronnelle,2,3,2,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
lemon tree,Citronnier,0,0,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
clematis,Clématite,0,0,2,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
clementine,Clémentine,1,2,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
clivia,Clivia,1,3,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
clove,Clou de girofle,0,0,2,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
bleeding heart,Cœur saignant,0,3,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
quince,Coing,1,3,2,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
coleus,Coléus,1,3,0,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
string of pearls,Collier de perles,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cucumber,Concombre,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
poppy,Coquelicot,1,3,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
coreopsis,Coréopsis,2,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cilantro,Coriandre,2,3,2,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
dogwood tree,Cornouiller,0,2,1,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
soursop,Corossol,2,3,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cosmos,Cosmos,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
butternut squash,Courge musquée,1,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
acorn squash,Courge poivrée,1,2,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
zucchini,Courgette,2,3,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
cress,Cresson,2,4,2,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
indian cress,Cresson indien,1,4,2,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
cockscomb (celosia),Crête-de-coq (celosia),1,3,2,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
crocus,Crocus,0,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
croton,Croton,0,3,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cyclamen,Cyclamen,1,4,0,3,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dahlia,Dahlia,1,3,2,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
date palm,Dattier,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
dianella,Dianella,0,0,2,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dianthus,Dianthus,1,0,2,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dieffenbachia,Dieffenbachia,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
foxglove,Digitale,1,3,1,0,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
dracaena,Dracaena,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
dusty miller,Dusty miller,1,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
echeveria,Echeveria,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
echinacea,Échinacée,0,0,2,0,1,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
epazote,Épazote,2,4,2,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
